table_type,level_code,id,subtopic_id,question_type,difficulty,dok,prompt,answer,source,source_url,source_activity_id,data_talk_type,title,data_source,big_idea_cluster
data_talk,EM9_ALG1,em9a1_dt_07,,,,,,,,,,What's Going On In This Graph?,International Optimism,NYT,Investigate Data/Correlation & Causation
data_talk,EM9_ALG1,em9a1_dt_08,,,,,,,,,,Zoom In,Military Spending,Slides,Investigate Data/Circle Relationships
data_talk,EM9_ALG1,em9a1_dt_09,,,,,,,,,,Notice/Wonder Data Visualization,Searches for 'Sus',YouCubed,Investigate Data
exemplar,EM9_GEO,em9geo_ex_001,em9geo_m1_s2,performance_task,hard,3,Right Triangles Task,,performance_task,,em9geo_m1_d1_performance_task_01,,,,
exemplar,EM9_GEO,em9geo_ex_002,em9geo_m1_s2,performance_task,hard,3,Jane's TV Task (Nearpod*),,performance_task,,em9geo_m1_d1_performance_task_02,,,,
exemplar,EM9_GEO,em9geo_ex_003,,fal_pre_assessment,medium,3,Pre-Assessment 'Square Areas' — FAL #1: Discovering the Pythagorean Theorem,,fal_pre_assessment,,em9geo_m1_d2_fal_pre_assessment_03,,,,
exemplar,EM9_GEO,em9geo_ex_004,em9geo_m1_s2,performance_task,hard,3,Pirate's Treasure Task,,performance_task,,em9geo_m1_d2_performance_task_04,,,,
exemplar,EM9_GEO,em9geo_ex_005,em9geo_m1_s3,investigation,medium,3,Distance Formula Investigation (Day 1 of 2),,investigation,,em9geo_m1_d5_investigation_08,,,,
exemplar,EM9_GEO,em9geo_ex_006,em9geo_m1_s3,investigation,medium,3,Distance Formula Investigation (Day 2 of 2),,investigation,,em9geo_m1_d6_investigation_09,,,,
exemplar,EM9_GEO,em9geo_ex_007,em9geo_m1_s4,performance_task,hard,3,Quinn's Quadrilateral Task,,performance_task,,em9geo_m1_d7_performance_task_11,,,,
exemplar,EM9_GEO,em9geo_ex_008,em9geo_m1_s4,performance_task,hard,3,Wendy's Puzzle Task (Extra),,additional_performance_task,,em9geo_m1_extra_wendys,,,,
exemplar,EM9_GEO,em9geo_ex_009,em9geo_m2_s4,performance_task,hard,3,Skateboarding Tricks Task,,performance_task,,em9geo_m2_d1_performance_task_00,,,,
exemplar,EM9_GEO,em9geo_ex_010,em9geo_m2_s1,investigation,medium,3,Transformations Exploration (Day 1 of 3),,investigation,,em9geo_m2_d1_investigation_01,,,,
exemplar,EM9_GEO,em9geo_ex_011,em9geo_m2_s2,investigation,medium,3,Transformations Exploration (Day 2 of 3),,investigation,,em9geo_m2_d2_investigation_02,,,,
exemplar,EM9_GEO,em9geo_ex_012,em9geo_m2_s3,investigation,medium,3,Transformations Exploration (Day 3 of 3),,investigation,,em9geo_m2_d3_investigation_03,,,,
exemplar,EM9_GEO,em9geo_ex_013,,fal_pre_assessment,medium,3,Pre Assessment 'Figure to Figure' — FAL #2: Transforming 2D Figures,,fal_pre_assessment,,em9geo_m2_d4_fal_pre_assessment_04,,,,
exemplar,EM9_GEO,em9geo_ex_014,em9geo_m2_s5,performance_task,hard,3,Transforming Triangles Task,,performance_task,,em9geo_m2_d4_performance_task_05,,,,
exemplar,EM9_GEO,em9geo_ex_015,em9geo_m2_s4,performance_task,hard,3,Rigid Motion Task (Nearpod*),,performance_task,,em9geo_m2_d4_performance_task_06,,,,
exemplar,EM9_GEO,em9geo_ex_016,em9geo_m2_s5,performance_task,hard,3,Transformer Task,,performance_task,,em9geo_m2_d7_performance_task_09,,,,
exemplar,EM9_GEO,em9geo_ex_017,em9geo_m2_s2,performance_task,hard,3,Reflect and Rotate Task (Additional),,additional_performance_task,,em9geo_m2_additional_1794,,,,
exemplar,EM9_GEO,em9geo_ex_018,em9geo_m2_s4,performance_task,hard,3,Karl's Kartoons Task (Additional),,additional_performance_task,,em9geo_m2_additional_4633,,,,
exemplar,EM9_GEO,em9geo_ex_019,em9geo_m2_s5,performance_task,hard,3,MC Escher Task (Additional),,additional_performance_task,,em9geo_m2_additional_7014,,,,
exemplar,EM9_GEO,em9geo_ex_020,em9geo_m3_s1,performance_task,hard,3,Mapping Triangles Task,,performance_task,,em9geo_m3_d1_performance_task_00,,,,
exemplar,EM9_GEO,em9geo_ex_021,em9geo_m3_s2,investigation,medium,3,Desmos Triangle Congruence Investigation,,investigation,,em9geo_m3_d1_investigation_01,,,,
exemplar,EM9_GEO,em9geo_ex_022,,fal_pre_assessment,medium,3,Pre-Assessment 'Finding Congruent Triangles' — FAL #3: Evaluating Conditions for Congruency,,fal_pre_assessment,,em9geo_m3_d2_fal_pre_assessment_02,,,,
exemplar,EM9_GEO,em9geo_ex_023,em9geo_m3_s2,performance_task,hard,3,Congruent Triangles Task,,performance_task,,em9geo_m3_d2_performance_task_03,,,,
exemplar,EM9_GEO,em9geo_ex_024,em9geo_m3_s2,performance_task,hard,3,Quiz Show Task (Nearpod*),,performance_task,,em9geo_m3_d2_performance_task_04,,,,
exemplar,EM9_GEO,em9geo_ex_025,em9geo_m3_s4,performance_task,hard,3,Framing a Roof Task,,performance_task,,em9geo_m3_d6_performance_task_08,,,,
exemplar,EM9_GEO,em9geo_ex_026,em9geo_m3_s4,performance_task,hard,3,By Design Task (Extra),,additional_performance_task,,em9geo_m3_extra_bydesign,,,,
data_talk,EM9_GEO,em9geo_dt_01,,,,,,,,,,What's Going On In This Graph?,AI Regulation,NYT,Investigate Data/Variability
data_talk,EM9_GEO,em9geo_dt_02,,,,,,,,,,Notice/Wonder Data Visualization,One Through Ten,YouCubed,Model With Functions/Geospacial Data
data_talk,EM9_GEO,em9geo_dt_03,,,,,,,,,,Slow Reveal,FIFA World Cup Appearances,Slides,Investigate Data/Fairness in Data
data_talk,EM9_GEO,em9geo_dt_04,,,,,,,,,,Notice/Wonder Data Visualization,Dice Sums,YouCubed,Model With Functions
data_talk,EM9_GEO,em9geo_dt_05,,,,,,,,,,Slow Reveal,Love/Hate in Song Lyrics,Slides,Growth and Decay
data_talk,EM9_GEO,em9geo_dt_06,,,,,,,,,,What's Going On In This Graph?,Hotter Summers,NYT,Growth and Decay/The Shape of Distributions
data_talk,EM9_GEO,em9geo_dt_07,,,,,,,,,,What's Going On In This Graph?,International Optimism,NYT,Investigate Data/Correlation & Causation
data_talk,EM9_GEO,em9geo_dt_08,,,,,,,,,,Zoom In,Military Spending,Slides,Investigate Data/Circle Relationships
data_talk,EM9_GEO,em9geo_dt_09,,,,,,,,,,Notice/Wonder Data Visualization,Searches for 'Sus',YouCubed,Investigate Data
